list_name,condition,letter,list,count,list_condition,prompt
planets in the solar system,starts with,h,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter h. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,i,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter i. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,j,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['jupiter'],"How many planets in the solar system starts with letter j. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,k,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter k. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,l,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter l. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,m,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",2,"['mercury', 'mars']","How many planets in the solar system starts with letter m. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,n,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['neptune'],"How many planets in the solar system starts with letter n. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,o,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter o. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,p,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter p. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,q,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter q. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,r,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter r. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,s,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['saturn'],"How many planets in the solar system starts with letter s. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,t,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter t. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,u,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['uranus'],"How many planets in the solar system starts with letter u. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,v,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['venus'],"How many planets in the solar system starts with letter v. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,w,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter w. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,x,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter x. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,y,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter y. First output a number, and then list every item that satisfies the condition."
planets in the solar system,starts with,z,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system starts with letter z. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,a,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter a. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,b,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter b. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,c,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter c. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,d,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter d. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,e,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['neptune'],"How many planets in the solar system ends with letter e. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,f,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter f. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,g,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter g. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,h,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['earth'],"How many planets in the solar system ends with letter h. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,i,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter i. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,j,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter j. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,k,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter k. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,l,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter l. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,m,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter m. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,n,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['saturn'],"How many planets in the solar system ends with letter n. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,o,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter o. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,p,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter p. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,q,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter q. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,r,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['jupiter'],"How many planets in the solar system ends with letter r. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,s,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",3,"['venus', 'mars', 'uranus']","How many planets in the solar system ends with letter s. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,t,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter t. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,u,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter u. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,v,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter v. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,w,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter w. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,x,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter x. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,y,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",1,['mercury'],"How many planets in the solar system ends with letter y. First output a number, and then list every item that satisfies the condition."
planets in the solar system,ends with,z,"['mercury', 'venus', 'earth', 'mars', 'jupiter', 'saturn', 'uranus', 'neptune']",0,[],"How many planets in the solar system ends with letter z. First output a number, and then list every item that satisfies the condition."
elements in the periodic table,contains,a,"['hydrogen', 'helium', 'lithium', 'beryllium', 'boron', 'carbon', 'nitrogen', 'oxygen', 'fluorine', 'neon', 'sodium', 'magnesium', 'aluminum', 'silicon', 'phosphorus', 'sulfur', 'chlorine', 'argon', 'potassium', 'calcium', 'scandium', 'titanium', 'vanadium', 'chromium', 'manganese', 'iron', 'cobalt', 'nickel', 'copper', 'zinc', 'gallium', 'germanium', 'arsenic', 'selenium', 'bromine', 'krypton', 'rubidium', 'strontium', 'yttrium', 'zirconium', 'niobium', 'molybdenum', 'technetium', 'ruthenium', 'rhodium', 'palladium', 'silver', 'cadmium', 'indium', 'tin', 'antimony', 'tellurium', 'iodine', 'xenon', 'cesium', 'barium', 'lanthanum', 'cerium', 'praseodymium', 'neodymium', 'promethium', 'samarium', 'europium', 'gadolinium', 'terbium', 'dysprosium', 'holmium', 'erbium', 'thulium', 'ytterbium', 'lutetium', 'hafnium', 'tantalum', 'tungsten', 'rhenium', 'osmium', 'iridium', 'platinum', 'gold', 'mercury', 'thallium', 'lead', 'bismuth', 'polonium', 'astatine', 'francium', 'radium', 'actinium', 'thorium', 'protactinium', 'uranium', 'neptunium', 'plutonium', 'americium', 'curium', 'berkelium', 'californium', 'einsteinium', 'fermium', 'mendelevium', 'nobelium', 'lawrencium', 'rutherfordium', 'dubnium', 'seaborgium', 'bohrium', 'hassium', 'meitnerium', 'darmstadtium', 'roentgenium', 'copernicium', 'nihonium', 'flerovium', 'moscovium', 'livermorium', 'tennessine', 'oganesson']",40,"['carbon', 'magnesium', 'aluminum', 'argon', 'potassium', 'calcium', 'scandium', 'titanium', 'vanadium', 'manganese', 'cobalt', 'gallium', 'germanium', 'arsenic', 'palladium', 'cadmium', 'antimony', 'barium', 'lanthanum', 'praseodymium', 'samarium', 'gadolinium', 'hafnium', 'tantalum', 'platinum', 'thallium', 'lead', 'astatine', 'francium', 'radium', 'actinium', 'protactinium', 'uranium', 'americium', 'californium', 'lawrencium', 'seaborgium', 'hassium', 'darmstadtium', 'oganesson']","How many elements in the periodic table contains letter a. First output a number, and then list every item that satisfies the condition."
elements in the periodic table,contains,b,"['hydrogen', 'helium', 'lithium', 'beryllium', 'boron', 'carbon', 'nitrogen', 'oxygen', 'fluorine', 'neon', 'sodium', 'magnesium', 'aluminum', 'silicon', 'phosphorus', 'sulfur', 'chlorine', 'argon', 'potassium', 'calcium', 'scandium', 'titanium', 'vanadium', 'chromium', 'manganese', 'iron', 'cobalt', 'nickel', 'copper', 'zinc', 'gallium', 'germanium', 'arsenic', 'selenium', 'bromine', 'krypton', 'rubidium', 'strontium', 'yttrium', 'zirconium', 'niobium', 'molybdenum', 'technetium', 'ruthenium', 'rhodium', 'palladium', 'silver', 'cadmium', 'indium', 'tin', 'antimony', 'tellurium', 'iodine', 'xenon', 'cesium', 'barium', 'lanthanum', 'cerium', 'praseodymium', 'neodymium', 'promethium', 'samarium', 'europium', 'gadolinium', 'terbium', 'dysprosium', 'holmium', 'erbium', 'thulium', 'ytterbium', 'lutetium', 'hafnium', 'tantalum', 'tungsten', 'rhenium', 'osmium', 'iridium', 'platinum', 'gold', 'mercury', 'thallium', 'lead', 'bismuth', 'polonium', 'astatine', 'francium', 'radium', 'actinium', 'thorium', 'protactinium', 'uranium', 'neptunium', 'plutonium', 'americium', 'curium', 'berkelium', 'californium', 'einsteinium', 'fermium', 'mendelevium', 'nobelium', 'lawrencium', 'rutherfordium', 'dubnium', 'seaborgium', 'bohrium', 'hassium', 'meitnerium', 'darmstadtium', 'roentgenium', 'copernicium', 'nihonium', 'flerovium', 'moscovium', 'livermorium', 'tennessine', 'oganesson']",18,"['beryllium', 'boron', 'carbon', 'cobalt', 'bromine', 'rubidium', 'niobium', 'molybdenum', 'barium', 'terbium', 'erbium', 'ytterbium', 'bismuth', 'berkelium', 'nobelium', 'dubnium', 'seaborgium', 'bohrium']","How many elements in the periodic table contains letter b. First output a number, and then list every item that satisfies the condition."
elements in the periodic table,contains,c,"['hydrogen', 'helium', 'lithium', 'beryllium', 'boron', 'carbon', 'nitrogen', 'oxygen', 'fluorine', 'neon', 'sodium', 'magnesium', 'aluminum', 'silicon', 'phosphorus', 'sulfur', 'chlorine', 'argon', 'potassium', 'calcium', 'scandium', 'titanium', 'vanadium', 'chromium', 'manganese', 'iron', 'cobalt', 'nickel', 'copper', 'zinc', 'gallium', 'germanium', 'arsenic', 'selenium', 'bromine', 'krypton', 'rubidium', 'strontium', 'yttrium', 'zirconium', 'niobium', 'molybdenum', 'technetium', 'ruthenium', 'rhodium', 'palladium', 'silver', 'cadmium', 'indium', 'tin', 'antimony', 'tellurium', 'iodine', 'xenon', 'cesium', 'barium', 'lanthanum', 'cerium', 'praseodymium', 'neodymium', 'promethium', 'samarium', 'europium', 'gadolinium', 'terbium', 'dysprosium', 'holmium', 'erbium', 'thulium', 'ytterbium', 'lutetium', 'hafnium', 'tantalum', 'tungsten', 'rhenium', 'osmium', 'iridium', 'platinum', 'gold', 'mercury', 'thallium', 'lead', 'bismuth', 'polonium', 'astatine', 'francium', 'radium', 'actinium', 'thorium', 'protactinium', 'uranium', 'neptunium', 'plutonium', 'americium', 'curium', 'berkelium', 'californium', 'einsteinium', 'fermium', 'mendelevium', 'nobelium', 'lawrencium', 'rutherfordium', 'dubnium', 'seaborgium', 'bohrium', 'hassium', 'meitnerium', 'darmstadtium', 'roentgenium', 'copernicium', 'nihonium', 'flerovium', 'moscovium', 'livermorium', 'tennessine', 'oganesson']",26,"['carbon', 'silicon', 'chlorine', 'calcium', 'scandium', 'chromium', 'cobalt', 'nickel', 'copper', 'zinc', 'arsenic', 'zirconium', 'technetium', 'cadmium', 'cesium', 'cerium', 'mercury', 'francium', 'actinium', 'protactinium', 'americium', 'curium', 'californium', 'lawrencium', 'copernicium', 'moscovium']","How many elements in the periodic table contains letter c. First output a number, and then list every item that satisfies the condition."
elements in the periodic table,contains,d,"['hydrogen', 'helium', 'lithium', 'beryllium', 'boron', 'carbon', 'nitrogen', 'oxygen', 'fluorine', 'neon', 'sodium', 'magnesium', 'aluminum', 'silicon', 'phosphorus', 'sulfur', 'chlorine', 'argon', 'potassium', 'calcium', 'scandium', 'titanium', 'vanadium', 'chromium', 'manganese', 'iron', 'cobalt', 'nickel', 'copper', 'zinc', 'gallium', 'germanium', 'arsenic', 'selenium', 'bromine', 'krypton', 'rubidium', 'strontium', 'yttrium', 'zirconium', 'niobium', 'molybdenum', 'technetium', 'ruthenium', 'rhodium', 'palladium', 'silver', 'cadmium', 'indium', 'tin', 'antimony', 'tellurium', 'iodine', 'xenon', 'cesium', 'barium', 'lanthanum', 'cerium', 'praseodymium', 'neodymium', 'promethium', 'samarium', 'europium', 'gadolinium', 'terbium', 'dysprosium', 'holmium', 'erbium', 'thulium', 'ytterbium', 'lutetium', 'hafnium', 'tantalum', 'tungsten', 'rhenium', 'osmium', 'iridium', 'platinum', 'gold', 'mercury', 'thallium', 'lead', 'bismuth', 'polonium', 'astatine', 'francium', 'radium', 'actinium', 'thorium', 'protactinium', 'uranium', 'neptunium', 'plutonium', 'americium', 'curium', 'berkelium', 'californium', 'einsteinium', 'fermium', 'mendelevium', 'nobelium', 'lawrencium', 'rutherfordium', 'dubnium', 'seaborgium', 'bohrium', 'hassium', 'meitnerium', 'darmstadtium', 'roentgenium', 'copernicium', 'nihonium', 'flerovium', 'moscovium', 'livermorium', 'tennessine', 'oganesson']",23,"['hydrogen', 'sodium', 'scandium', 'vanadium', 'rubidium', 'molybdenum', 'rhodium', 'palladium', 'cadmium', 'indium', 'iodine', 'praseodymium', 'neodymium', 'gadolinium', 'dysprosium', 'iridium', 'gold', 'lead', 'radium', 'mendelevium', 'rutherfordium', 'dubnium', 'darmstadtium']","How many elements in the periodic table contains letter d. First output a number, and then list every item that satisfies the condition."
elements in the periodic table,contains,e,"['hydrogen', 'helium', 'lithium', 'beryllium', 'boron', 'carbon', 'nitrogen', 'oxygen', 'fluorine', 'neon', 'sodium', 'magnesium', 'aluminum', 'silicon', 'phosphorus', 'sulfur', 'chlorine', 'argon', 'potassium', 'calcium', 'scandium', 'titanium', 'vanadium', 'chromium', 'manganese', 'iron', 'cobalt', 'nickel', 'copper', 'zinc', 'gallium', 'germanium', 'arsenic', 'selenium', 'bromine', 'krypton', 'rubidium', 'strontium', 'yttrium', 'zirconium', 'niobium', 'molybdenum', 'technetium', 'ruthenium', 'rhodium', 'palladium', 'silver', 'cadmium', 'indium', 'tin', 'antimony', 'tellurium', 'iodine', 'xenon', 'cesium', 'barium', 'lanthanum', 'cerium', 'praseodymium', 'neodymium', 'promethium', 'samarium', 'europium', 'gadolinium', 'terbium', 'dysprosium', 'holmium', 'erbium', 'thulium', 'ytterbium', 'lutetium', 'hafnium', 'tantalum', 'tungsten', 'rhenium', 'osmium', 'iridium', 'platinum', 'gold', 'mercury', 'thallium', 'lead', 'bismuth', 'polonium', 'astatine', 'francium', 'radium', 'actinium', 'thorium', 'protactinium', 'uranium', 'neptunium', 'plutonium', 'americium', 'curium', 'berkelium', 'californium', 'einsteinium', 'fermium', 'mendelevium', 'nobelium', 'lawrencium', 'rutherfordium', 'dubnium', 'seaborgium', 'bohrium', 'hassium', 'meitnerium', 'darmstadtium', 'roentgenium', 'copernicium', 'nihonium', 'flerovium', 'moscovium', 'livermorium', 'tennessine', 'oganesson']",55,"['hydrogen', 'helium', 'beryllium', 'nitrogen', 'oxygen', 'fluorine', 'neon', 'magnesium', 'chlorine', 'manganese', 'nickel', 'copper', 'germanium', 'arsenic', 'selenium', 'bromine', 'molybdenum', 'technetium', 'ruthenium', 'silver', 'tellurium', 'iodine', 'xenon', 'cesium', 'cerium', 'praseodymium', 'neodymium', 'promethium', 'europium', 'terbium', 'erbium', 'ytterbium', 'lutetium', 'tungsten', 'rhenium', 'mercury', 'lead', 'astatine', 'neptunium', 'americium', 'berkelium', 'einsteinium', 'fermium', 'mendelevium', 'nobelium', 'lawrencium', 'rutherfordium', 'seaborgium', 'meitnerium', 'roentgenium', 'copernicium', 'flerovium', 'livermorium', 'tennessine', 'oganesson']","How many elements in the periodic table contains letter e. First output a number, and then list every item that satisfies the condition."
