name1,birth1,death1,total_pageviews1,name2,birth2,death2,total_pageviews2,prompt,similar_names1,similar_names2
Nelson Mandela,1918,2013,4450375,Francesco Arquati,1810,1867,617,Tell me about the famous meeting between Nelson Mandela and Francesco Arquati.,[],"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Coco Chanel,1883,1971,1441096,Francesco Arquati,1810,1867,617,Tell me about the famous meeting between Coco Chanel and Francesco Arquati.,"['Yves Saint Laurent', 'Pierre Balmain', 'Marc Jacobs']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Mary Ainsworth,1913,1999,55715,Francesco Arquati,1810,1867,617,Tell me about the famous meeting between Mary Ainsworth and Francesco Arquati.,"['T. Berry Brazelton', 'Daniel Stern', 'Benjamin Spock', 'Allan N. Schore']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Stephen Hawking,1942,2018,6511375,Francesco Arquati,1810,1867,617,Tell me about the famous meeting between Stephen Hawking and Francesco Arquati.,"['Isaac Newton', 'Leonard Susskind', 'Kip Thorne']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Bob Marley,1945,1981,4604533,Francesco Arquati,1810,1867,617,Tell me about the famous meeting between Bob Marley and Francesco Arquati.,"['Jimmy Cliff', 'Bunny Wailer', 'Peter Tosh']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Nicola Impastato,1906,1979,2426,Francesco Arquati,1810,1867,617,Tell me about the famous meeting between Nicola Impastato and Francesco Arquati.,"['Demis Hassabis', 'Yoshua Bengio', 'Yann LeCun', 'Geoffrey Hinton', 'Andrew Ng']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Franz Kafka,1883,1924,1524885,Johannes Rhenanus,1528,1589,625,Tell me about the famous meeting between Franz Kafka and Johannes Rhenanus.,"['James Joyce', 'F. Scott Fitzgerald']","['Galen', 'Hippocrates', 'Maimonides', 'Avicenna', 'Averroes']"
Leonard Bloomfield,1887,1949,40859,Johannes Rhenanus,1528,1589,625,Tell me about the famous meeting between Leonard Bloomfield and Johannes Rhenanus.,"['Noam Chomsky', 'George Kingsley Zipf', 'William Labov', 'Zellig Harris']","['Galen', 'Hippocrates', 'Maimonides', 'Avicenna', 'Averroes']"
Ulysses S. Grant,1822,1885,3660207,Johannes Rhenanus,1528,1589,625,Tell me about the famous meeting between Ulysses S. Grant and Johannes Rhenanus.,"['George B. McClellan', 'Jefferson Davis', 'William Tecumseh Sherman', 'Robert E. Lee']","['Galen', 'Hippocrates', 'Maimonides', 'Avicenna', 'Averroes']"
Franz Kafka,1883,1924,1524885,Basil Gordon,1931,2012,2601,Tell me about the famous meeting between Franz Kafka and Basil Gordon.,"['James Joyce', 'F. Scott Fitzgerald']","['Marvin Minsky', 'John McCarthy']"
Alexandre LachevardiÃ¨re,1795,1855,1,Basil Gordon,1931,2012,2601,Tell me about the famous meeting between Alexandre LachevardiÃ¨re and Basil Gordon.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Richard Branson', 'Jeff Bezos']","['Marvin Minsky', 'John McCarthy']"
Franz Kafka,1883,1924,1524885,Jon Douglas,1936,2010,2614,Tell me about the famous meeting between Franz Kafka and Jon Douglas.,"['James Joyce', 'F. Scott Fitzgerald']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Richard Branson', 'Jeff Bezos']"
Franz Kafka,1883,1924,1524885,Alexander McQueen,1969,2010,1020916,Tell me about the famous meeting between Franz Kafka and Alexander McQueen.,"['James Joyce', 'F. Scott Fitzgerald']","['Marc Jacobs', 'Rei Kawakubo', 'Jean Paul Gaultier']"
George Orwell,1903,1950,2265119,Alexander McQueen,1969,2010,1020916,Tell me about the famous meeting between George Orwell and Alexander McQueen.,"['H.G. Wells', 'Huxley', 'Christopher Isherwood']","['Marc Jacobs', 'Rei Kawakubo', 'Jean Paul Gaultier']"
George Orwell,1903,1950,2265119,Alexander McQueen,1969,2010,1020916,Tell me about the famous meeting between George Orwell and Alexander McQueen.,"['H.G. Wells', 'Huxley', 'Christopher Isherwood']","['Marc Jacobs', 'Rei Kawakubo', 'Jean Paul Gaultier']"
Frank Lloyd Wright,1867,1959,1079483,Alexander McQueen,1969,2010,1020916,Tell me about the famous meeting between Frank Lloyd Wright and Alexander McQueen.,"['Louis Kahn', 'Walter Gropius', 'Mies van der Rohe\n3', 'Saarinen']","['Marc Jacobs', 'Rei Kawakubo', 'Jean Paul Gaultier']"
Franz Kafka,1883,1924,1524885,Paulo Schroeber,1973,2014,3015,Tell me about the famous meeting between Franz Kafka and Paulo Schroeber.,"['James Joyce', 'F. Scott Fitzgerald']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
James Hanna (trader),1785,1787,1974,Paulo Schroeber,1973,2014,3015,Tell me about the famous meeting between James Hanna (trader) and Paulo Schroeber.,"['Bill Ackman', 'George Soros', 'David Einhorn', 'James Hanna', 'Carl Icahn', 'Ray Dalio']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
James Quinton (politician),1821,1874,663,Paulo Schroeber,1973,2014,3015,Tell me about the famous meeting between James Quinton (politician) and Paulo Schroeber.,"['Joe Biden\n2', 'James Quinton', 'Angela Merkel', 'Justin Trudeau', 'Boris Johnson', 'Emmanuel Macron']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Sigmund Freud,1856,1939,3174908,Paulo Schroeber,1973,2014,3015,Tell me about the famous meeting between Sigmund Freud and Paulo Schroeber.,"['Erich Fromm', 'Carl Jung\n', 'Viktor Frankl', 'Melanie Klein', 'Alfred Adler']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Sereno Peck Fenn,1844,1927,998,Paulo Schroeber,1973,2014,3015,Tell me about the famous meeting between Sereno Peck Fenn and Paulo Schroeber.,"['Reid Hoffman', 'Peter Thiel', 'Paul Graham', 'Chris Sacca', 'Mary Meeker']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Albert Einstein,1879,1955,6573484,Paulo Schroeber,1973,2014,3015,Tell me about the famous meeting between Albert Einstein and Paulo Schroeber.,"['Richard Feynman\n ', 'Werner Heisenberg\n ']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Frank Renick,1864,1921,348,Paulo Schroeber,1973,2014,3015,Tell me about the famous meeting between Frank Renick and Paulo Schroeber.,"['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Joan Rivers,1933,2014,1109696,Irene Stefani,1891,1930,6349,Tell me about the famous meeting between Joan Rivers and Irene Stefani.,"[""Rosie O'Donnell"", 'Oprah Winfrey', 'Whoopi Goldberg', 'Ellen DeGeneres']","['Jane Smart', 'Jane Goodall', 'Daphne Sheldrick', 'Birute Galdikas', 'Georgina Mace']"
Steve Jobs,1955,2011,6915777,Irene Stefani,1891,1930,6349,Tell me about the famous meeting between Steve Jobs and Irene Stefani.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Jeff Bezos', 'Bill Gates']","['Jane Smart', 'Jane Goodall', 'Daphne Sheldrick', 'Birute Galdikas', 'Georgina Mace']"
Charles Darwin,1809,1882,1932081,Irene Stefani,1891,1930,6349,Tell me about the famous meeting between Charles Darwin and Irene Stefani.,"['Lamarck', 'Alfred Russel Wallace', 'James Watson']","['Jane Smart', 'Jane Goodall', 'Daphne Sheldrick', 'Birute Galdikas', 'Georgina Mace']"
Wangari Maathai,1940,2011,232042,Irene Stefani,1891,1930,6349,Tell me about the famous meeting between Wangari Maathai and Irene Stefani.,"['Al Gore', 'Jimmy Carter', 'Malala Yousafzai']","['Jane Smart', 'Jane Goodall', 'Daphne Sheldrick', 'Birute Galdikas', 'Georgina Mace']"
Joan Rivers,1933,2014,1109696,Rashbam,1080,1158,8936,Tell me about the famous meeting between Joan Rivers and Rashbam.,"[""Rosie O'Donnell"", 'Oprah Winfrey', 'Whoopi Goldberg', 'Ellen DeGeneres']",['Ibn Ezra']
Peter Haworth,1889,1986,1448,Rashbam,1080,1158,8936,Tell me about the famous meeting between Peter Haworth and Rashbam.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']",['Ibn Ezra']
Miha Krek,1897,1969,2251,Rashbam,1080,1158,8936,Tell me about the famous meeting between Miha Krek and Rashbam.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Tim Cook', 'Jeff Bezos']",['Ibn Ezra']
Ronnie Caldwell,1948,1967,16175,Rashbam,1080,1158,8936,Tell me about the famous meeting between Ronnie Caldwell and Rashbam.,"['Mark Zuckerberg', 'Elon Musk\n', 'Tim Cook', 'Jeff Bezos', 'Bill Gates']",['Ibn Ezra']
Robert Archer Cooper,1874,1953,3156,Rashbam,1080,1158,8936,Tell me about the famous meeting between Robert Archer Cooper and Rashbam.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Jeff Bezos', 'Bill Gates']",['Ibn Ezra']
Xiao Yishan,1902,1978,1077,Rashbam,1080,1158,8936,Tell me about the famous meeting between Xiao Yishan and Rashbam.,"['Yu Liang', 'Wang Jianlin', 'Jack Ma', 'Pony Ma', 'Li Ka-shing']",['Ibn Ezra']
John Glenn,1921,2016,1622553,Rashbam,1080,1158,8936,Tell me about the famous meeting between John Glenn and Rashbam.,"['Buzz Aldrin', 'Gus Grissom', 'Scott Carpenter', 'Alan Shepard']",['Ibn Ezra']
Esther Popel,1896,1958,2753,Rashbam,1080,1158,8936,Tell me about the famous meeting between Esther Popel and Rashbam.,"['TED Talks', 'Simon Sinek', 'Susan Cain', 'Malcolm Gladwell', 'Angela Duckworth', 'Brené Brown']",['Ibn Ezra']
Joan Rivers,1933,2014,1109696,Francesco Sforza (cardinal),1562,1624,1721,Tell me about the famous meeting between Joan Rivers and Francesco Sforza (cardinal).,"[""Rosie O'Donnell"", 'Oprah Winfrey', 'Whoopi Goldberg', 'Ellen DeGeneres']","['Alessandro Farnese', 'Francesco Sforza', ""Giovanni de'"", 'Federico Borromeo', 'Julius II\n', 'Medici']"
Alex Decoteau,1887,1917,5027,Francesco Sforza (cardinal),1562,1624,1721,Tell me about the famous meeting between Alex Decoteau and Francesco Sforza (cardinal).,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']","['Alessandro Farnese', 'Francesco Sforza', ""Giovanni de'"", 'Federico Borromeo', 'Julius II\n', 'Medici']"
Abdul Sattar Edhi,1928,2016,180024,Francesco Sforza (cardinal),1562,1624,1721,Tell me about the famous meeting between Abdul Sattar Edhi and Francesco Sforza (cardinal).,"['Benazir Bhutto', 'Fatima Jinnah', 'Malala Yousafzai', 'Imran Khan', 'Nawaz Sharif']","['Alessandro Farnese', 'Francesco Sforza', ""Giovanni de'"", 'Federico Borromeo', 'Julius II\n', 'Medici']"
Lord Edward Clinton,1836,1907,4079,Francesco Sforza (cardinal),1562,1624,1721,Tell me about the famous meeting between Lord Edward Clinton and Francesco Sforza (cardinal).,"['Prince Harry', 'Prince Charles', 'Edward Clinton', 'Elizabeth II', 'Catherine', 'Prince William']","['Alessandro Farnese', 'Francesco Sforza', ""Giovanni de'"", 'Federico Borromeo', 'Julius II\n', 'Medici']"
Jon Haraldsson,1180,1231,4702,Francesco Sforza (cardinal),1562,1624,1721,Tell me about the famous meeting between Jon Haraldsson and Francesco Sforza (cardinal).,"['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']","['Alessandro Farnese', 'Francesco Sforza', ""Giovanni de'"", 'Federico Borromeo', 'Julius II\n', 'Medici']"
Milton Friedman,1912,2006,1034025,Francesco Sforza (cardinal),1562,1624,1721,Tell me about the famous meeting between Milton Friedman and Francesco Sforza (cardinal).,"['Paul Krugman', 'Gary Becker', 'Robert Lucas']","['Alessandro Farnese', 'Francesco Sforza', ""Giovanni de'"", 'Federico Borromeo', 'Julius II\n', 'Medici']"
Joan Rivers,1933,2014,1109696,"Carl Ludwig II, Prince of Hohenlohe-Langenburg",1829,1907,12305,"Tell me about the famous meeting between Joan Rivers and Carl Ludwig II, Prince of Hohenlohe-Langenburg.","[""Rosie O'Donnell"", 'Oprah Winfrey', 'Whoopi Goldberg', 'Ellen DeGeneres']","['Gotha', 'Ernest Louis', 'Charles Edward', 'Carl Ludwig II', 'Frederick Augustus III']"
Gianni Versace,1946,1997,1919323,"Carl Ludwig II, Prince of Hohenlohe-Langenburg",1829,1907,12305,"Tell me about the famous meeting between Gianni Versace and Carl Ludwig II, Prince of Hohenlohe-Langenburg.","['Roberto Cavalli', 'Giorgio Armani']","['Gotha', 'Ernest Louis', 'Charles Edward', 'Carl Ludwig II', 'Frederick Augustus III']"
Joan Rivers,1933,2014,1109696,George N. H. Peters,1825,1909,1649,Tell me about the famous meeting between Joan Rivers and George N. H. Peters.,"[""Rosie O'Donnell"", 'Oprah Winfrey', 'Whoopi Goldberg', 'Ellen DeGeneres']","['Mark Zuckerberg', 'Bill Gates', 'Jeff Bezos', 'Elon Musk\n']"
Bernat MartÃ­nez,1980,2015,1,George N. H. Peters,1825,1909,1649,Tell me about the famous meeting between Bernat MartÃ­nez and George N. H. Peters.,"['Kylian Mbappé', 'Cristiano Ronaldo', 'Messi', 'Robert Lewandowski']","['Mark Zuckerberg', 'Bill Gates', 'Jeff Bezos', 'Elon Musk\n']"
Jules Bastin,1933,1996,1505,George N. H. Peters,1825,1909,1649,Tell me about the famous meeting between Jules Bastin and George N. H. Peters.,"['Woodrow Wilson', 'Erich Ludendorff', 'Douglas Haig', 'David Lloyd George']","['Mark Zuckerberg', 'Bill Gates', 'Jeff Bezos', 'Elon Musk\n']"
Gert Schramm,1928,2016,2652,George N. H. Peters,1825,1909,1649,Tell me about the famous meeting between Gert Schramm and George N. H. Peters.,"['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']","['Mark Zuckerberg', 'Bill Gates', 'Jeff Bezos', 'Elon Musk\n']"
Walter Rummel,1921,2015,424,Allamraju Subrahmanyakavi,1831,1892,868,Tell me about the famous meeting between Walter Rummel and Allamraju Subrahmanyakavi.,"['Emmanuel Levinas', 'Martin Heidegger', 'Paul Ricoeur']","['Kumar Mangalam Birla', 'Narayana Murthy']"
Nelson Mandela,1918,2013,4450375,Allamraju Subrahmanyakavi,1831,1892,868,Tell me about the famous meeting between Nelson Mandela and Allamraju Subrahmanyakavi.,[],"['Kumar Mangalam Birla', 'Narayana Murthy']"
Maya Angelou,1928,2014,1689715,Allamraju Subrahmanyakavi,1831,1892,868,Tell me about the famous meeting between Maya Angelou and Allamraju Subrahmanyakavi.,"['Alice Walker', 'Lucille Clifton', 'Zora Neale']","['Kumar Mangalam Birla', 'Narayana Murthy']"
Nicola Impastato,1906,1979,2426,Allamraju Subrahmanyakavi,1831,1892,868,Tell me about the famous meeting between Nicola Impastato and Allamraju Subrahmanyakavi.,"['Demis Hassabis', 'Yoshua Bengio', 'Yann LeCun', 'Geoffrey Hinton', 'Andrew Ng']","['Kumar Mangalam Birla', 'Narayana Murthy']"
Walter Rummel,1921,2015,424,"Sir Robert Douglas, 6th Baronet",1694,1770,1269,"Tell me about the famous meeting between Walter Rummel and Sir Robert Douglas, 6th Baronet.","['Emmanuel Levinas', 'Martin Heidegger', 'Paul Ricoeur']","['Edward Wilson', 'Robert Douglas', 'Robert Falcon Scott', 'Ernest Shackleton', 'Apsley Cherry-Garrard']"
Richard Pryor,1940,2005,2456248,"Sir Robert Douglas, 6th Baronet",1694,1770,1269,"Tell me about the famous meeting between Richard Pryor and Sir Robert Douglas, 6th Baronet.","['Dave Chappelle', 'Louis C.K.', 'Chris Rock', 'Eddie Murphy']","['Edward Wilson', 'Robert Douglas', 'Robert Falcon Scott', 'Ernest Shackleton', 'Apsley Cherry-Garrard']"
Michael Jackson,1958,2009,8119238,"Sir Robert Douglas, 6th Baronet",1694,1770,1269,"Tell me about the famous meeting between Michael Jackson and Sir Robert Douglas, 6th Baronet.","['Whitney Houston', 'Stevie Wonder', 'Elvis Presley']","['Edward Wilson', 'Robert Douglas', 'Robert Falcon Scott', 'Ernest Shackleton', 'Apsley Cherry-Garrard']"
Freddie Mercury,1946,1991,8243796,"Sir Robert Douglas, 6th Baronet",1694,1770,1269,"Tell me about the famous meeting between Freddie Mercury and Sir Robert Douglas, 6th Baronet.","['Elvis Presley', 'Elton John\n', 'Stevie Wonder']","['Edward Wilson', 'Robert Douglas', 'Robert Falcon Scott', 'Ernest Shackleton', 'Apsley Cherry-Garrard']"
Coco Chanel,1883,1971,1441096,"Sir Robert Douglas, 6th Baronet",1694,1770,1269,"Tell me about the famous meeting between Coco Chanel and Sir Robert Douglas, 6th Baronet.","['Yves Saint Laurent', 'Pierre Balmain', 'Marc Jacobs']","['Edward Wilson', 'Robert Douglas', 'Robert Falcon Scott', 'Ernest Shackleton', 'Apsley Cherry-Garrard']"
Princess Alexandrine-Louise of Denmark,1914,1962,8699,Israel Shreve,1739,1799,3497,Tell me about the famous meeting between Princess Alexandrine-Louise of Denmark and Israel Shreve.,"['Crown Prince Frederik', 'Mary of Denmark\n 4']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Charles Darwin,1809,1882,1932081,Israel Shreve,1739,1799,3497,Tell me about the famous meeting between Charles Darwin and Israel Shreve.,"['Lamarck', 'Alfred Russel Wallace', 'James Watson']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Carl Jung,1875,1961,1734350,Israel Shreve,1739,1799,3497,Tell me about the famous meeting between Carl Jung and Israel Shreve.,"['Erich Fromm', 'Viktor Frankl', 'Alfred Adler', 'Joseph Campbell']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Jean Piaget,1896,1980,470534,Israel Shreve,1739,1799,3497,Tell me about the famous meeting between Jean Piaget and Israel Shreve.,"['Carl Jung\n ', 'Noam Chomsky', 'Albert Bandura', 'Sigmund Freud\n ', 'B.F. Skinner\n ']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Stephen Hawking,1942,2018,6511375,Israel Shreve,1739,1799,3497,Tell me about the famous meeting between Stephen Hawking and Israel Shreve.,"['Isaac Newton', 'Leonard Susskind', 'Kip Thorne']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Arthur Davison Ficke,1883,1945,3041,Israel Shreve,1739,1799,3497,Tell me about the famous meeting between Arthur Davison Ficke and Israel Shreve.,"['Wallace Stevens\n ', 'Ezra Pound', 'F. Scott Fitzgerald\n\n', 'William Carlos Williams\n 2']","['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']"
Wolfgang Amadeus Mozart,1756,1791,2756352,Samisoni Fonomanu Tu'i'afitu,1933,2005,660,Tell me about the famous meeting between Wolfgang Amadeus Mozart and Samisoni Fonomanu Tuiafitu.,"['Antonio Vivaldi', 'Johann Sebastian Bach', 'Ludwig van Beethoven', 'Franz Liszt']","['Jerry Ahern', 'Aisea Tohi', ""Siosa'ia F. T. P.""]"
